python_startIndex,python_endIndex,Url,maxPage,Category,SubCategory,SubSubCategory
0,1,https://www.walmart.com/browse/beauty/face-primer/1085666_1007040_4989345_5574649?page=,25,Beauty-Makeup,Face Makeup,Face Primer,
1,2,https://www.walmart.com/browse/1085666_1007040_4989345_6330178?page=,24,Beauty-Makeup,Face Makeup,BB Cream,
2,3,https://www.walmart.com/browse/1085666_1007040_4989345_7065896?page=,14,Beauty-Makeup,Face Makeup,CC Cream,
3,4,https://www.walmart.com/browse/face-makeup/foundation/1085666_1007040_4989345_7625953?page=,25,Beauty-Makeup,Face Makeup,Foundation,
4,5,https://www.walmart.com/browse/face-makeup/concealer/1085666_1007040_4989345_1558831?page=,25,Beauty-Makeup,Face Makeup,Concealer,
5,6,https://www.walmart.com/browse/1085666_1007040_4989345_3437754?page=,11,Beauty-Makeup,Face Makeup,Contour,
6,7,https://www.walmart.com/browse/beauty/blush/1085666_1007040_4989345_9864508?page=,25,Beauty-Makeup,Face Makeup,Blush,
7,8,https://www.walmart.com/browse/beauty/bronzer/1085666_1007040_4989345_9344248?page=,25,Beauty-Makeup,Face Makeup,Bronzer,
8,9,https://www.walmart.com/browse/beauty/highlighter-makeup/1085666_1007040_4989345_8154440?page=,25,Beauty-Makeup,Face Makeup,Highlighter,
9,10,https://www.walmart.com/browse/beauty/setting-spray/1085666_1007040_4989345_6419581_4021844?page=,10,Beauty-Makeup,Face Makeup,Setting Spray,
10,11,https://www.walmart.com/browse/beauty/setting-powder/1085666_1007040_4989345_6419581_9607315?page=,15,Beauty-Makeup,Face Makeup,Setting Powder,
11,12,https://www.walmart.com/browse/beauty/eye-makeup/1085666_1007040_6659232?page=,25,Beauty-Makeup,Eye Makeup,Eyeshadow,
12,13,https://www.walmart.com/browse/beauty/mascara/1085666_1007040_6659232_4285565?page=,25,Beauty-Makeup,Eye Makeup,Mascara,
13,14,https://www.walmart.com/browse/eye-makeup/eyeliner/1085666_1007040_6659232_8903128?page=,25,Beauty-Makeup,Eye Makeup,Eyeliner,
14,15,https://www.walmart.com/browse/eye-makeup/brows/1085666_1007040_6659232_1603278?page=,25,Beauty-Makeup,Eye Makeup,Brows,
15,16,https://www.walmart.com/browse/eye-makeup/false-eyelashes/1085666_1007040_6659232_3191692?page=,25,Beauty-Makeup,Eye Makeup,False Eyelashes,
16,17,https://www.walmart.com/browse/beauty/eyelash-eyebrow-enhancer/1085666_1007040_6659232_8598364?page=,12,Beauty-Makeup,Eye Makeup,Eye Brow and Lash Growth,
17,18,https://www.walmart.com/browse/lip-makeup/lipstick/1085666_1007040_2209773_1827471?page=,25,Beauty-Makeup,Lip Makeup,Lipstick,
18,19,https://www.walmart.com/browse/beauty/lip-gloss/1085666_1007040_2209773_7504576?page=,25,Beauty-Makeup,Lip Makeup,Lip Gloss,
19,20,https://www.walmart.com/browse/beauty/lip-liner/1085666_1007040_2209773_7849208?page=,25,Beauty-Makeup,Lip Makeup,Lip Liner,
20,21,https://www.walmart.com/browse/beauty/lip-plumpers/1085666_1007040_2209773_9382979?page=,11,Beauty-Makeup,Lip Makeup,Lip Plumper,
21,22,https://www.walmart.com/browse/beauty/lip-stain/1085666_1007040_2209773_9750209?page=,25,Beauty-Makeup,Lip Makeup,Lip Stain,
22,23,https://www.walmart.com/browse/beauty/lip-care/1085666_1007039_1001506?page=,25,Beauty-Makeup,Lip Makeup,Lip Care,
23,24,https://www.walmart.com/browse/makeup-tools-brushes/cosmetic-cottons/1085666_1007040_7828467_6131628?page=,25,Beauty-Makeup,Makeup Brushes and Tools,Cosmetic Cottons,
24,25,https://www.walmart.com/browse/makeup-tools-brushes/makeup-sponges-wedges/1085666_1007040_7828467_4908681?page=,25,Beauty-Makeup,Makeup Brushes and Tools,Makeup Sponges and Applicators,
25,26,https://www.walmart.com/browse/beauty/eye-makeup-brushes/1085666_1007040_7828467_9306771_1541058?page=,4,Beauty-Makeup,Makeup Brushes and Tools,Eye Brushes,
26,27,https://www.walmart.com/browse/beauty/face-makeup-brushes/1085666_1007040_7828467_9306771_7662376?page=,10,Beauty-Makeup,Makeup Brushes and Tools,Face Brushes,
27,28,https://www.walmart.com/browse/beauty/lip-makeup-brushes/1085666_1007040_7828467_9306771_8204648?page=,1,Beauty-Makeup,Makeup Brushes and Tools,Lip Brushes,
28,29,https://www.walmart.com/browse/beauty/makeup-brush-sets/1085666_1007040_7828467_9306771_1836345?page=,25,Beauty-Makeup,Makeup Brushes and Tools,Brush Sets,
29,30,https://www.walmart.com/browse/beauty/makeup-brush-cleanser/1085666_1007040_7828467_9306771_9091361?page=,25,Beauty-Makeup,Makeup Brushes and Tools,Brush Cleansers,
30,31,https://www.walmart.com/browse/makeup-tools-brushes/tweezers-eyebrow-tools/1085666_1007040_7828467_5200539?page=,25,Beauty-Makeup,Makeup Brushes and Tools,Tweezers and Eyebrow Tools,
31,32,https://www.walmart.com/browse/beauty/makeup-bags/1085666_1007040_3460489_1635492?page=,25,Beauty-Makeup,Beauty Accessories,Makeup Bags,
32,33,https://www.walmart.com/browse/beauty/makeup-cases/1085666_1007040_3460489_4098950?page=,25,Beauty-Makeup,Beauty Accessories,Makeup Cases,
33,34,https://www.walmart.com/browse/beauty/makeup-organizer/1085666_1007040_3460489_8207571?page=,25,Beauty-Makeup,Beauty Accessories,Makeup Organizers,
34,35,https://www.walmart.com/browse/beauty-accessories/makeup-mirror/1085666_1007040_3460489_5548419?page=,25,Beauty-Makeup,Beauty Accessories,Makeup Mirrors,
35,36,https://www.walmart.com/browse/nail-care/nail-polish/1085666_1007040_3592123_5608885?page=,25,Beauty-Makeup,Nail Care,Nail Polish,
36,37,https://www.walmart.com/browse/1085666_3592123_5608885_9258123?page=,25,Beauty-Makeup,Nail Care,Gel Nail Polish,
37,38,https://www.walmart.com/browse/nail-care/nail-art/1085666_1007040_3592123_4834834?page=,25,Beauty-Makeup,Nail Care,Nail Art and Design,
38,39,https://www.walmart.com/browse/nail-care/nail-polish-removers/1085666_1007040_3592123_6735142?page=,25,Beauty-Makeup,Nail Care,Nail Polish Removers,
39,40,https://www.walmart.com/browse/1085666_3592123_5454352_5583038?page=,25,Beauty-Makeup,Nail Care,Cuticle Care,
40,41,https://www.walmart.com/browse/nail-care/nail-treatments/1085666_1007040_3592123_5454352?page=,25,Beauty-Makeup,Nail Care,Nail Treatments,
41,42,https://www.walmart.com/browse/nail-care/nail-tools/1085666_1007040_3592123_2668890?page=,25,Beauty-Makeup,Nail Care,Nail Tools,
42,43,https://www.walmart.com/browse/nail-care/false-nails/1085666_1007040_3592123_9776350?page=,17,Beauty-Makeup,Nail Care,False Nails,
43,44,https://www.walmart.com/browse/makeup/body-makeup/1085666_1007040_6077339?page=,25,Beauty-Makeup,Body Makeup,Body Makeup,
